_id,Timestamp,Redemption Count,Sales Count
1,2024-09-26T18:45:00,29,6
2,2024-09-26T18:30:00,59,59
3,2024-09-26T18:15:00,50,43
4,2024-09-26T18:00:00,65,42
5,2024-09-26T17:45:00,46,55
6,2024-09-26T17:30:00,76,107
7,2024-09-26T17:15:00,85,98
8,2024-09-26T17:00:00,38,37
9,2024-09-26T16:45:00,90,75
10,2024-09-26T16:30:00,97,77
11,2024-09-26T16:15:00,51,53
12,2024-09-26T16:00:00,102,100
13,2024-09-26T15:45:00,96,54
14,2024-09-26T15:30:00,118,104
15,2024-09-26T15:15:00,98,92
16,2024-09-26T15:00:00,101,95
17,2024-09-26T14:45:00,96,92
18,2024-09-26T14:30:00,191,116
19,2024-09-26T14:15:00,92,105
20,2024-09-26T14:00:00,96,88
21,2024-09-26T13:45:00,94,88
22,2024-09-26T13:30:00,111,104
23,2024-09-26T13:15:00,103,82
24,2024-09-26T13:00:00,117,108
25,2024-09-26T12:45:00,134,165
26,2024-09-26T12:30:00,106,107
27,2024-09-26T12:15:00,114,161
28,2024-09-26T12:00:00,126,125
29,2024-09-26T11:45:00,95,91
30,2024-09-26T11:30:00,88,102
31,2024-09-26T11:15:00,93,100
32,2024-09-26T11:00:00,78,77
33,2024-09-26T10:45:00,51,53
34,2024-09-26T10:30:00,72,73
35,2024-09-26T10:15:00,160,54
36,2024-09-26T10:00:00,49,38
37,2024-09-26T09:45:00,23,33
38,2024-09-26T09:30:00,31,28
39,2024-09-26T09:15:00,14,21
40,2024-09-26T09:00:00,29,36
41,2024-09-26T08:45:00,10,13
42,2024-09-26T08:30:00,19,19
43,2024-09-26T08:15:00,23,10
44,2024-09-26T08:00:00,6,6
45,2024-09-26T07:45:00,2,3
46,2024-09-26T07:30:00,12,6
47,2024-09-26T07:15:00,18,15
48,2024-09-26T07:00:00,3,4
49,2024-09-26T06:45:00,2,4
50,2024-09-26T06:30:00,19,10
51,2024-09-26T05:30:00,0,1
52,2024-09-26T03:45:00,0,2
53,2024-09-26T02:30:00,0,2
54,2024-09-26T00:00:00,0,2
55,2024-09-25T23:45:00,0,1
56,2024-09-25T23:30:00,4,5
57,2024-09-25T23:15:00,1,5
58,2024-09-25T23:00:00,7,6
59,2024-09-25T22:45:00,6,10
60,2024-09-25T22:30:00,8,5
61,2024-09-25T22:15:00,3,5
62,2024-09-25T22:00:00,12,13
63,2024-09-25T21:45:00,5,4
64,2024-09-25T21:30:00,14,21
65,2024-09-25T21:15:00,12,20
66,2024-09-25T21:00:00,9,10
67,2024-09-25T20:45:00,13,17
68,2024-09-25T20:30:00,25,10
69,2024-09-25T20:15:00,6,14
70,2024-09-25T20:00:00,4,1
71,2024-09-25T19:45:00,9,11
72,2024-09-25T19:30:00,16,10
73,2024-09-25T19:15:00,14,21
74,2024-09-25T19:00:00,18,16
75,2024-09-25T18:45:00,19,20
76,2024-09-25T18:30:00,24,16
77,2024-09-25T18:15:00,29,28
78,2024-09-25T18:00:00,41,30
79,2024-09-25T17:45:00,24,26
80,2024-09-25T17:30:00,53,44
81,2024-09-25T17:15:00,34,28
82,2024-09-25T17:00:00,35,32
83,2024-09-25T16:45:00,33,41
84,2024-09-25T16:30:00,48,44
85,2024-09-25T16:15:00,29,38
86,2024-09-25T16:00:00,226,276
87,2024-09-25T15:45:00,9,7
88,2024-09-25T15:30:00,46,34
89,2024-09-25T15:15:00,20,14
90,2024-09-25T15:00:00,31,26
91,2024-09-25T14:45:00,23,22
92,2024-09-25T14:30:00,36,42
93,2024-09-25T14:15:00,53,53
94,2024-09-25T14:00:00,38,130
95,2024-09-25T13:45:00,15,13
96,2024-09-25T13:30:00,51,36
97,2024-09-25T13:15:00,36,31
98,2024-09-25T13:00:00,35,31
99,2024-09-25T12:45:00,37,56
100,2024-09-25T12:30:00,37,51
101,2024-09-25T12:15:00,50,52
102,2024-09-25T12:00:00,45,45
103,2024-09-25T11:45:00,17,18
104,2024-09-25T11:30:00,26,71
105,2024-09-25T11:15:00,28,29
106,2024-09-25T11:00:00,33,27
107,2024-09-25T10:45:00,14,14
108,2024-09-25T10:30:00,13,14
109,2024-09-25T10:15:00,17,17
110,2024-09-25T10:00:00,18,16
111,2024-09-25T09:45:00,8,16
112,2024-09-25T09:30:00,30,12
113,2024-09-25T09:15:00,6,11
114,2024-09-25T09:00:00,8,11
115,2024-09-25T08:45:00,2,0
116,2024-09-25T08:30:00,18,16
117,2024-09-25T08:15:00,15,3
118,2024-09-25T08:00:00,3,2
119,2024-09-25T07:30:00,12,3
120,2024-09-25T07:15:00,3,2
121,2024-09-25T07:00:00,6,4
122,2024-09-25T06:45:00,14,10
123,2024-09-25T06:30:00,14,9
124,2024-09-25T02:00:00,0,3
125,2024-09-25T01:00:00,0,3
126,2024-09-25T00:45:00,0,2
127,2024-09-25T00:00:00,0,1
128,2024-09-24T23:45:00,0,3
129,2024-09-24T23:30:00,5,4
130,2024-09-24T23:15:00,1,3
131,2024-09-24T23:00:00,2,0
132,2024-09-24T22:45:00,7,3
133,2024-09-24T22:30:00,11,0
134,2024-09-24T22:15:00,2,1
135,2024-09-24T22:00:00,5,6
136,2024-09-24T21:45:00,2,3
137,2024-09-24T21:30:00,14,41
138,2024-09-24T21:15:00,3,1
139,2024-09-24T21:00:00,4,2
140,2024-09-24T20:45:00,0,2
141,2024-09-24T20:30:00,13,0
142,2024-09-24T20:15:00,5,4
143,2024-09-24T20:00:00,1,2
144,2024-09-24T19:45:00,8,8
145,2024-09-24T19:30:00,9,4
146,2024-09-24T19:15:00,6,5
147,2024-09-24T19:00:00,15,12
148,2024-09-24T18:45:00,9,8
149,2024-09-24T18:30:00,20,15
150,2024-09-24T18:15:00,18,20
151,2024-09-24T18:00:00,15,1
152,2024-09-24T17:45:00,8,6
153,2024-09-24T17:30:00,28,22
154,2024-09-24T17:15:00,17,22
155,2024-09-24T17:00:00,10,4
156,2024-09-24T16:45:00,10,18
157,2024-09-24T16:30:00,32,41
158,2024-09-24T16:15:00,16,21
159,2024-09-24T16:00:00,45,47
160,2024-09-24T15:45:00,20,21
161,2024-09-24T15:30:00,26,33
162,2024-09-24T15:15:00,12,7
163,2024-09-24T15:00:00,26,23
164,2024-09-24T14:45:00,25,38
165,2024-09-24T14:30:00,11,3
166,2024-09-24T14:15:00,26,16
167,2024-09-24T14:00:00,24,24
168,2024-09-24T13:45:00,24,25
169,2024-09-24T13:30:00,43,30
170,2024-09-24T13:15:00,19,14
171,2024-09-24T13:00:00,18,21
172,2024-09-24T12:45:00,10,20
173,2024-09-24T12:30:00,15,10
174,2024-09-24T12:15:00,24,18
175,2024-09-24T12:00:00,55,7
176,2024-09-24T11:45:00,18,11
177,2024-09-24T11:30:00,10,9
178,2024-09-24T11:15:00,18,18
179,2024-09-24T11:00:00,24,5
180,2024-09-24T10:45:00,3,1
181,2024-09-24T10:30:00,12,4
182,2024-09-24T10:15:00,143,136
183,2024-09-24T10:00:00,17,5
184,2024-09-24T09:45:00,36,12
185,2024-09-24T09:30:00,74,16
186,2024-09-24T09:15:00,11,6
187,2024-09-24T09:00:00,17,33
188,2024-09-24T08:45:00,5,5
189,2024-09-24T08:30:00,7,3
190,2024-09-24T08:15:00,18,5
191,2024-09-24T08:00:00,10,3
192,2024-09-24T07:45:00,11,10
193,2024-09-24T07:30:00,12,5
194,2024-09-24T07:15:00,6,5
195,2024-09-24T07:00:00,7,6
196,2024-09-24T06:45:00,3,3
197,2024-09-24T06:30:00,6,0
198,2024-09-24T01:30:00,0,10
199,2024-09-23T23:45:00,0,3
200,2024-09-23T23:30:00,4,4
201,2024-09-23T23:15:00,3,2
202,2024-09-23T23:00:00,5,1
203,2024-09-23T22:45:00,3,3
204,2024-09-23T22:30:00,8,5
205,2024-09-23T22:15:00,6,6
206,2024-09-23T22:00:00,3,0
207,2024-09-23T21:45:00,1,0
208,2024-09-23T21:30:00,5,1
209,2024-09-23T21:15:00,7,22
210,2024-09-23T21:00:00,5,5
211,2024-09-23T20:45:00,4,3
212,2024-09-23T20:30:00,18,12
213,2024-09-23T20:15:00,6,5
214,2024-09-23T20:00:00,10,8
215,2024-09-23T19:45:00,5,4
216,2024-09-23T19:30:00,14,10
217,2024-09-23T19:15:00,5,10
218,2024-09-23T19:00:00,11,11
219,2024-09-23T18:45:00,5,8
220,2024-09-23T18:30:00,37,14
221,2024-09-23T18:15:00,26,40
222,2024-09-23T18:00:00,39,32
223,2024-09-23T17:45:00,21,16
224,2024-09-23T17:30:00,39,28
225,2024-09-23T17:15:00,28,26
226,2024-09-23T17:00:00,36,37
227,2024-09-23T16:45:00,46,38
228,2024-09-23T16:30:00,60,70
229,2024-09-23T16:15:00,48,38
230,2024-09-23T16:00:00,51,36
231,2024-09-23T15:45:00,52,49
232,2024-09-23T15:30:00,36,33
233,2024-09-23T15:15:00,23,22
234,2024-09-23T15:00:00,48,45
235,2024-09-23T14:45:00,31,30
236,2024-09-23T14:30:00,57,52
237,2024-09-23T14:15:00,53,49
238,2024-09-23T14:00:00,50,36
239,2024-09-23T13:45:00,27,25
240,2024-09-23T13:30:00,50,54
241,2024-09-23T13:15:00,39,32
242,2024-09-23T13:00:00,47,53
243,2024-09-23T12:45:00,25,24
244,2024-09-23T12:30:00,35,22
245,2024-09-23T12:15:00,25,19
246,2024-09-23T12:00:00,18,11
247,2024-09-23T11:45:00,39,53
248,2024-09-23T11:30:00,27,25
249,2024-09-23T11:15:00,27,46
250,2024-09-23T11:00:00,22,104
251,2024-09-23T10:45:00,143,135
252,2024-09-23T10:30:00,29,18
253,2024-09-23T10:15:00,43,18
254,2024-09-23T10:00:00,27,29
255,2024-09-23T09:45:00,12,11
256,2024-09-23T09:30:00,10,15
257,2024-09-23T09:15:00,9,1
258,2024-09-23T09:00:00,6,3
259,2024-09-23T08:45:00,5,7
260,2024-09-23T08:30:00,10,0
261,2024-09-23T08:15:00,36,13
262,2024-09-23T08:00:00,12,10
263,2024-09-23T07:45:00,1,3
264,2024-09-23T07:30:00,12,5
265,2024-09-23T07:15:00,4,5
266,2024-09-23T07:00:00,6,1
267,2024-09-23T06:45:00,13,11
268,2024-09-23T06:30:00,7,2
269,2024-09-23T03:00:00,0,1
270,2024-09-23T01:00:00,0,1
271,2024-09-22T23:15:00,1,1
272,2024-09-22T23:00:00,5,3
273,2024-09-22T22:45:00,0,2
274,2024-09-22T22:30:00,3,2
275,2024-09-22T22:15:00,2,1
276,2024-09-22T22:00:00,11,11
277,2024-09-22T21:45:00,3,3
278,2024-09-22T21:30:00,4,3
279,2024-09-22T21:15:00,7,5
280,2024-09-22T21:00:00,12,15
281,2024-09-22T20:45:00,5,6
282,2024-09-22T20:30:00,23,10
283,2024-09-22T20:15:00,7,4
284,2024-09-22T20:00:00,11,11
285,2024-09-22T19:45:00,27,22
286,2024-09-22T19:30:00,35,56
287,2024-09-22T19:15:00,45,44
288,2024-09-22T19:00:00,46,47
289,2024-09-22T18:45:00,64,66
290,2024-09-22T18:30:00,73,67
291,2024-09-22T18:15:00,86,74
292,2024-09-22T18:00:00,99,81
293,2024-09-22T17:45:00,111,82
294,2024-09-22T17:30:00,140,128
295,2024-09-22T17:15:00,121,114
296,2024-09-22T17:00:00,149,148
297,2024-09-22T16:45:00,111,82
298,2024-09-22T16:30:00,124,114
299,2024-09-22T16:15:00,163,147
300,2024-09-22T16:00:00,201,202
301,2024-09-22T15:45:00,142,135
302,2024-09-22T15:30:00,232,194
303,2024-09-22T15:15:00,245,245
304,2024-09-22T15:00:00,182,173
305,2024-09-22T14:45:00,180,190
306,2024-09-22T14:30:00,263,191
307,2024-09-22T14:15:00,197,153
308,2024-09-22T14:00:00,201,175
309,2024-09-22T13:45:00,196,180
310,2024-09-22T13:30:00,238,207
311,2024-09-22T13:15:00,251,211
312,2024-09-22T13:00:00,242,199
313,2024-09-22T12:45:00,223,197
314,2024-09-22T12:30:00,231,216
315,2024-09-22T12:15:00,240,213
316,2024-09-22T12:00:00,261,213
317,2024-09-22T11:45:00,178,217
318,2024-09-22T11:30:00,173,130
319,2024-09-22T11:15:00,139,115
320,2024-09-22T11:00:00,210,170
321,2024-09-22T10:45:00,151,142
322,2024-09-22T10:30:00,187,150
323,2024-09-22T10:15:00,200,178
324,2024-09-22T10:00:00,114,101
325,2024-09-22T09:45:00,77,85
326,2024-09-22T09:30:00,121,92
327,2024-09-22T09:15:00,45,51
328,2024-09-22T09:00:00,63,67
329,2024-09-22T08:45:00,19,49
330,2024-09-22T08:30:00,8,43
331,2024-09-22T08:15:00,34,29
332,2024-09-22T08:00:00,15,23
333,2024-09-22T07:45:00,2,9
334,2024-09-22T07:30:00,4,10
335,2024-09-22T07:15:00,1,22
336,2024-09-22T07:00:00,6,5
337,2024-09-22T06:45:00,2,3
338,2024-09-22T06:30:00,2,6
339,2024-09-22T06:15:00,0,3
340,2024-09-22T04:45:00,0,2
341,2024-09-22T02:45:00,0,3
342,2024-09-22T01:30:00,0,2
343,2024-09-22T01:15:00,0,8
344,2024-09-22T01:00:00,0,4
345,2024-09-22T00:30:00,0,10
346,2024-09-22T00:15:00,0,6
347,2024-09-22T00:00:00,0,12
348,2024-09-21T23:45:00,0,6
349,2024-09-21T23:30:00,2,12
350,2024-09-21T23:15:00,1,3
351,2024-09-21T23:00:00,7,6
352,2024-09-21T22:45:00,0,21
353,2024-09-21T22:30:00,11,23
354,2024-09-21T22:15:00,4,3
355,2024-09-21T22:00:00,1,18
356,2024-09-21T21:45:00,5,12
357,2024-09-21T21:30:00,7,13
358,2024-09-21T21:15:00,4,9
